school_id_num,address1,city,state,zip,county_code,county_name,district_code,district_name,school_code,school_name,princ_title,princ_first_name,princ_last_name,princ_title_2,princ_email,address2,mailing_address1,mailing_address2,mailing_city,mailing_state,mailing_zip,hib_title1,hib_first_nname,hib_last_name,hib_title2,homeless_liaison_title1,homeless_liaison_first_name,homeless_liaison_last_name,homeless_liaison_title2,phone,pre_k,kindergarten,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,post_grad_,adult_ed_,latitude,longitude
536,15 COLUMBUS ROAD,DEMAREST,NJ,7627,3,BERGEN,1070,DEMAREST SCHOOL DISTRICT,50,LUTHER LEE EMERSON SCHOOL,,,,,, ,15 COLUMBUS ROAD,,DEMAREST,NJ,7627,,,,,,,,,(201)768-6060,NA   ,NA   ,NA   ,1    ,1    ,1    ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,40.956526,-73.970912
1827,5-7 Colt St,PATERSON,NJ,7505,31,PASSAIC,4010,PATERSON PUBLIC SCHOOL DISTRICT,4,SCHOOL OF HEALTH SCIENCE,Ms,KELLI,WHITE,Principal,kwhite@paterson.k12.nj.us, ,5-7 Colt St,,PATERSON,NJ,7505,,,,,,,,,(973)321-0560,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,1    ,1    ,1    ,1    ,NA   ,NA   ,40.917075,-74.171488
1102,25 FISCHER AVE,BOGOTA,NJ,7603,3,BERGEN,440,BOGOTA PUBLIC SCHOOL DISTRICT,30,E. ROY BIXBY,Mr,Robert,Watts,Principal,rwatts@bogotaboe.com, ,25 FISCHER AVE,,BOGOTA,NJ,7603,Mrs,Mara,Wilson,Anti-Bullying Specialist,,,,,(201)441-4834,1    ,1    ,1    ,1    ,1    ,1    ,1    ,1    ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,40.869117,-74.026889
2167,635 BERGEN BLVD,RIDGEFIELD,NJ,7657,3,BERGEN,4370,RIDGEFIELD SCHOOL DISTRICT,65,BERGEN BOULEVARD SCHOOL,,,,,, ,635 BERGEN BLVD,,RIDGEFIELD,NJ,7657,Mrs,Alyssa,Marasciulo,Anti-Bullying Specialist,,,,,(201)943-1861,NA   ,NA   ,1    ,1    ,1    ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,40.829352,-73.994345
137,1006 Hamburg Turnpike,Wayne,NJ,7470,31,PASSAIC,3975,PASSAIC COUNTY EDUCATIONAL SERVICES COMMISSION,300,PCESC ACADEMY AT PREAKNESS,,,,,, ,1006 Hamburg Turnpike,,Wayne,NJ,7470,Ms,Andrea,Philactos,Anti-Bullying Specialist,,,,,(973)832-4097,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,1    ,1    ,1    ,1    ,1    ,1    ,NA   ,NA   ,40.960183,-74.234172
1362,31 JAMES STREET,PATERSON,NJ,7502,31,PASSAIC,4010,PATERSON PUBLIC SCHOOL DISTRICT,230,SCHOOL 19,Ms,ROSALIE,BESPALKO,Principal,rbespalko@paterson.k12.nj.us, ,31 JAMES STREET,,PATERSON,NJ,7502,,,,,,,,,(973)321-0190,1    ,1    ,1    ,1    ,1    ,1    ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,40.920076,-74.18918
1548,37 KELLER AVENUE,ROCKAWAY,NJ,07866-3921,27,MORRIS,4480,ROCKAWAY BOROUGH SCHOOL DISTRICT,60,LINCOLN ELEMENTARY SCHOOL,Mrs,Phyllis,Alpaugh,Principal,pa@rockboro.org, ,37 KELLER AVENUE,,ROCKAWAY,NJ,3945,,,,,,,,,(973)625-8602,1    ,1    ,1    ,1    ,1    ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,40.897584,-74.511134
138,101 BIRCH ST,WESTVILLE,NJ,8093,15,GLOUCESTER,5740,WESTVILLE BORO PUBLIC SCHOOL DISTRICT,40,PARKVIEW ELEMENTARY SCHOOL,Ms,Renee,Egan,Principal,egan@westvillesd.com, ,101 BIRCH ST,,WESTVILLE,NJ,8093,Ms,Daria,Durand,Anti-Bullying Specialist,,,,,(856)456-0235,1    ,1    ,1    ,1    ,1    ,1    ,1    ,1    ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,39.866655,-75.126941
1,1  KELLY  DRIVE,WEST ORANGE,NJ,7052,13,ESSEX,5680,WEST ORANGE PUBLIC SCHOOLS,135,LIBERTY MIDDLE SCHOOL,Mr,Robert,Klemt,Principal,rklemt@woboe.org, ,1  KELLY  DRIVE,,WEST ORANGE,NJ,7052,Ms,Valerie,Gino,Anti-Bullying Specialist,,,,,(973)243-8650,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,1    ,1    ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,40.793153,-74.28651
2,1 ART STREET,DOVER,NJ,7801,27,MORRIS,4490,ROCKAWAY TOWNSHIP SCHOOL DISTRICT,10,BIRCHWOOD ELEMENTARY SCHOOL,Mr,David,Frinzi,School Principal,DFrinzi@rocktwp.org, ,1 ART STREET,,DOVER,NJ,7801,Mr,David,Kratka,Anti-Bullying Specialist,,,,,(973)361-7080,NA   ,1    ,1    ,1    ,1    ,1    ,1    ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,40.899469,-74.539086
